代码,日期,5日收益,7日收益,15日收益,30日收益
002533,2022-09-21,-5.0,-5.0,-5.0,-5.0
002121,2008-10-20,1.1013215859030798,-5.0,-5.0,-5.0
002121,2008-11-05,13.745271122320302,31.525851197982348,83.22824716267338,164.69104665825975
002121,2016-02-02,-5.0,-5.0,-5.0,-5.0
002121,2016-08-03,-0.6796116504854396,-1.747572815533995,-0.3883495145631158,-1.9417475728155442
002121,2018-08-13,-1.7391304347826024,-4.521739130434779,0.5217391304347869,2.2608695652173894
002121,2018-08-24,1.9607843137254801,3.9215686274509753,3.030303030303029,-5.0
002121,2019-08-12,7.499999999999996,12.5,23.750000000000004,23.750000000000004
002121,2020-05-25,3.3898305084745637,6.440677966101694,8.135593220338974,8.135593220338974
601012,2016-02-02,6.685768863419287,5.921680993314223,2.0,2.0
601012,2018-08-23,4.827031375703939,11.343523732904265,11.343523732904265,11.343523732904265
601012,2018-08-24,9.324758842443732,11.254019292604504,11.254019292604504,11.254019292604504
601012,2023-06-12,4.169662113587347,0.6110711718188288,1.1861969805894979,7.979870596693023
000565,2001-08-03,-5.0,-5.0,-5.0,-5.0
000565,2004-06-18,-5.0,-5.0,-5.0,-5.0
000565,2004-07-05,-5.0,-5.0,-5.0,-5.0
000565,2004-08-23,1.0230179028133002,1.7902813299232694,-0.7672634271099807,16.368286445012778
000565,2012-01-04,-5.0,-5.0,-5.0,-5.0
000565,2018-06-25,-5.0,-5.0,-5.0,-5.0
000565,2018-06-26,-5.0,-5.0,-5.0,-5.0
000565,2021-11-01,-5.0,-5.0,-5.0,-5.0
002020,2006-06-14,8.503937007874017,8.503937007874017,8.503937007874017,8.503937007874017
002020,2008-09-12,-5.0,-5.0,-5.0,-5.0
002020,2024-01-26,-5.0,-5.0,-5.0,-5.0
600062,1999-04-29,-1.603665521191301,-5.0,-5.0,-5.0
600062,2017-07-21,-1.872659176029956,-2.0131086142322085,-5.0,-5.0
600062,2017-07-24,-0.9442870632672299,-3.352219074598682,-5.0,-5.0
600062,2018-08-29,-5.0,-5.0,-5.0,-5.0
600062,2018-10-17,-5.0,-5.0,-5.0,-5.0
600062,2022-09-20,-5.0,-5.0,-5.0,-5.0
002443,2016-03-02,-5.0,-5.0,-5.0,-5.0
000060,1999-01-21,-5.0,-5.0,-5.0,-5.0
000060,2004-06-15,-1.7488076311605774,-5.0,-5.0,-5.0
000060,2004-06-29,9.932659932659929,10.26936026936026,8.754208754208745,8.754208754208745
000060,2006-08-09,8.181818181818185,6.8181818181818175,6.8181818181818175,6.8181818181818175
000060,2016-02-02,10.75268817204301,10.75268817204301,10.75268817204301,10.75268817204301
