序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3097,601083,锦江航运,11.53,0.35,0.04,57283.0,66088510.0,1.22,11.63,11.49,11.49,11.49,0.81,2.95,9.45,1.63,14921203600.0,2238203600.0,-0.09,-0.09,0.17,27.69,601083.SS
3101,002274,华昌化工,5.76,0.35,0.02,44175.0,25429888.49,1.22,5.78,5.71,5.75,5.74,0.5,0.47,-485.99,1.01,5485620361.0,5402010989.0,-0.17,-0.17,-7.54,-22.89,002274.SZ
3105,601199,江南水务,5.7,0.35,0.02,35230.0,20064313.0,0.7,5.71,5.67,5.68,5.68,0.92,0.38,14.51,1.17,5330698664.0,5330698664.0,0.0,0.0,1.42,5.75,601199.SS
3106,920039,国义招标,11.58,0.35,0.04,16012.0,18545550.44,1.56,11.69,11.51,11.51,11.54,0.69,1.04,45.29,3.34,1781235600.0,1781234442.0,0.26,0.17,-12.8,56.49,920039.SZ
3111,002932,明德生物,17.87,0.34,0.06,14607.0,26065872.93,0.79,17.94,17.8,17.82,17.81,0.71,0.94,230.58,0.75,4155149502.0,2789241827.0,0.06,0.11,-5.25,3.47,002932.SZ
3113,688030,山石网科,17.83,0.34,0.06,12728.0,22618623.0,1.58,17.93,17.65,17.71,17.77,0.79,0.71,-33.09,3.86,3213549362.0,3213549362.0,-0.06,0.22,-11.65,15.03,688030.SS
3116,600123,兰花科创,5.94,0.34,0.02,68513.0,40570317.0,0.68,5.94,5.9,5.94,5.92,0.75,0.47,624.25,0.55,8751045725.0,8751045725.0,0.0,0.0,-10.41,-29.37,600123.SS
3117,603917,合力科技,14.71,0.34,0.05,49565.0,72850852.0,1.43,14.78,14.57,14.73,14.66,0.52,2.43,91.22,1.79,2998486400.0,2998486400.0,0.0,-0.07,4.4,26.81,603917.SS
3118,600829,人民同泰,11.8,0.34,0.04,332313.0,392256377.0,6.21,12.25,11.52,11.75,11.76,1.13,5.73,45.87,2.29,6842685445.0,6842685445.0,0.08,0.0,49.37,57.33,600829.SS
3119,003000,劲仔食品,11.74,0.34,0.04,42531.0,49816036.32,1.11,11.77,11.64,11.7,11.7,0.81,1.42,22.97,3.98,5293497427.0,3525477482.0,-0.09,-0.17,-0.93,-11.73,003000.SZ
3124,600698,湖南天雁,9.05,0.33,0.03,94977.0,85763727.0,1.11,9.06,8.96,9.02,9.02,0.89,1.14,5616.61,12.55,9671171475.0,7514624703.0,0.0,0.11,-9.5,100.22,600698.SS
3126,601311,骆驼股份,9.21,0.33,0.03,132031.0,121126198.0,1.42,9.23,9.1,9.16,9.18,0.92,1.13,13.09,1.1,10804675747.0,10804675747.0,-0.11,-0.11,-16.73,15.13,601311.SS
3127,001289,龙源电力,15.31,0.33,0.05,27762.0,42421970.69,0.66,15.31,15.21,15.25,15.26,0.8,0.06,21.85,1.7,127988785471.0,77192012051.0,0.0,0.07,-9.89,-1.1,001289.SZ
3128,601939,建设银行,9.2,0.33,0.03,502561.0,461824208.0,0.98,9.23,9.14,9.15,9.17,0.6,0.52,7.01,0.71,2406723509423.0,88261649975.0,0.0,-0.11,7.48,12.2,601939.SS
3129,920433,大唐药业,6.05,0.33,0.02,11445.0,6908589.83,1.33,6.08,6.0,6.01,6.03,0.4,0.68,-28.27,3.67,1548314070.0,1024364196.0,0.17,0.17,-10.5,0.0,920433.SZ
3131,688728,格科微,15.17,0.33,0.05,85834.0,129987656.0,1.39,15.23,15.02,15.09,15.12,0.88,0.34,589.54,5.04,39450899738.0,37908118414.0,0.0,-0.07,-12.36,13.04,688728.SS
3134,688085,三友医疗,17.99,0.33,0.06,36850.0,66567878.0,3.79,18.43,17.75,17.97,17.93,1.82,1.17,72.59,2.89,5998990339.0,5644968853.0,0.0,-0.06,-10.18,1.93,688085.SS
3135,002233,塔牌集团,9.17,0.33,0.03,76296.0,69954741.8,1.86,9.24,9.07,9.13,9.14,0.8,0.64,13.95,0.91,10933161897.0,10925820853.0,0.0,-0.11,1.89,26.83,002233.SZ
3136,002063,远光软件,6.06,0.33,0.02,197088.0,119428546.36,1.32,6.09,6.01,6.02,6.04,0.99,1.12,70.3,3.07,11574997239.0,10688160077.0,-0.16,0.0,-4.87,5.76,002063.SZ
3137,920665,科强股份,15.18,0.33,0.05,99901.0,153579728.93,4.1,15.7,15.08,15.44,15.13,0.9,15.59,46.18,2.73,1973248200.0,972607920.0,0.0,-0.13,8.97,49.56,920665.SZ
